t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,motor_rpm_mean,motor_current_mean,encoder_pulse_rate_mean,reward
1772691216.3240042,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772691216.7327752,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772691217.1438346,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772691217.5562139,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772691217.9639828,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772691218.3756876,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772691218.7870033,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.004061549972720253,0.0,0.0,0.0,-0.0024369299836321514
1772691219.198375,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002088158161616987,0.0,0.0,0.0,-0.00124141826191882
1772691219.6133752,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0020900263730736046,0.0,0.0,0.0,-0.001045200007682464
1772691220.024535,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00330716121572902,0.0,0.0,0.0,-0.0017752940921300516
1772691220.4382975,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0034252543067495064,0.0,0.0,0.0,-0.0017244364624768018
1772691220.8448708,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0024596517538087565,0.0,0.0,0.0,-0.0013263861321984533
1772691221.2520175,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.003226842551168001,0.0,0.0,0.0,-0.001690140355319925
1772691221.6603785,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0018135640629241756,0.0,0.0,0.0,-0.0010481098802864704
1772691222.0683413,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002425291948134295,0.0,0.0,0.0,-0.0012738187625881594
1772691222.4855242,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0023439913761274045,0.0,0.0,0.0,-0.0011801257452643914
1772691222.9059346,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0027892733900041137,0.0,0.0,0.0,-0.0014391648963897278
1772691223.317946,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0020575350011386427,0.0,0.0,0.0,-0.0011019413394558685
1772691223.7262242,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002523971243947392,0.0,0.0,0.0,-0.001308629246254571
1772691224.1345828,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002419882246159933,0.0,0.0,0.0,-0.0012203500228587124
1772691224.5420551,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.003075546402455235,0.0,0.0,0.0,-0.0016033396168571477
1772691224.9505603,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.003121295378293082,0.0,0.0,0.0,-0.0015652225867303256
1772691225.35835,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0029981642965401056,0.0,0.0,0.0,-0.0015113952564453504
1772691225.7686992,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0029470348688336364,0.0,0.0,0.0,-0.0014786303771874652
1772691226.1831753,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0016144410600127555,0.0,0.0,0.0,-0.0009404799108884658
1772691226.5933912,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0017984297767236507,0.0,0.0,0.0,-0.0009176137600329149
1772691227.005688,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0019473685936155626,0.0,0.0,0.0,-0.0009885781784969726
1772691227.4171097,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.001722807047838659,0.0,0.0,0.0,-0.0008838596784970199
1772691227.8258874,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0034483621674217574,0.0,0.0,0.0,-0.0018967365956691884
1772691228.2338092,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.003285051088296771,0.0,0.0,0.0,-0.0016588566520608842
1772691228.6471436,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0016808893249386902,0.0,0.0,0.0,-0.0010008608388051533
1772691229.0618644,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0019420035980012868,0.0,0.0,0.0,-0.0009971132263069031
1772691229.4712327,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0027507682301238768,0.0,0.0,0.0,-0.0014562605782741974
1772691229.8869033,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.003117816151207229,0.0,0.0,0.0,-0.0015956128677119495
1772691230.2996895,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002702928008165139,0.0,0.0,0.0,-0.0013929528183867785
1772691230.7078762,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0034679047553489513,0.0,0.0,0.0,-0.0018104500523928569
1772691231.127072,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0028564982408581397,0.0,0.0,0.0,-0.001489389771878151
1772691231.541989,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0017089522419585356,0.0,0.0,0.0,-0.0009692307208692282
1772691231.9509323,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0019627091205910233,0.0,0.0,0.0,-0.0010067302481587604
1772691232.3606167,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00231463518458342,0.0,0.0,0.0,-0.0011925101986909497
1772691232.7684612,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002121261629175004,0.0,0.0,0.0,-0.0010799681701283436
1772691233.1843739,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.001916984367129869,0.0,0.0,0.0,-0.0009789199097694481
1772691233.606285,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.004184468459237987,0.0,0.0,0.0,-0.0023189826388298053
1772691234.0171392,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0026767135801867964,0.0,0.0,0.0,-0.0014891322779985172
1772691234.4259198,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.003322469766463243,0.0,0.0,0.0,-0.001725810501859266
1772691234.8410666,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0026538387028773916,0.0,0.0,0.0,-0.0013937824577972809
1772691235.251068,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0037644952235355777,0.0,0.0,0.0,-0.0019933132638336073
1772691235.662175,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.001825992896302896,0.0,0.0,0.0,-0.0011068466808747163
1772691236.0776303,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.002367003186696627,0.0,0.0,0.0,-0.0012376026223876865
