t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,motor_rpm_mean,motor_current_mean,encoder_pulse_rate_mean,reward
1772511509.6878576,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772511510.1059492,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.367518314516292e-11,0.0,0.0,0.0,-4.420510988709775e-11
1772511510.524874,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.108497491339223e-05,0.0,0.0,0.0,-3.665097758051702e-05
1772511510.9426415,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00010099483953187572,0.0,0.0,0.0,-6.670540121046465e-05
1772511511.3567386,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.1059313495108996e-05,0.0,0.0,0.0,-4.0735072050252966e-05
1772511511.7681394,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-8.094683954538159e-05,0.0,0.0,0.0,-5.3674035076739854e-05
1772511512.1896727,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.774757443042002e-06,0.0,0.0,0.0,-1.0959538420363361e-05
1772511512.5998363,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.1073705066708184e-06,0.0,0.0,0.0,-2.3418980483066912e-06
1772511513.0106723,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,8.250267577825012e-05,0.0,0.0,0.0,-4.981234251761716e-05
1772511513.4199114,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.546318815284158e-05,0.0,0.0,0.0,-2.6435542838961644e-05
1772511513.8365252,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.876545271342325e-05,0.0,0.0,0.0,-3.6712952812769795e-05
1772511514.250735,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.3357186316183568e-05,0.0,0.0,0.0,-2.0890857061052464e-05
