t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,motor_rpm_mean,motor_current_mean,encoder_pulse_rate_mean,reward
1772173905.006261,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1772173905.4175327,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.466279178379038e-05,0.0,0.0,0.0,-2.6797675070274228e-05
1772173905.8371186,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.603440575534283e-11,0.0,0.0,0.0,-4.466297592141341e-06
1772173906.2616072,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.3669459664066242e-15,0.0,0.0,0.0,-4.604260743114127e-12
1772173906.7078214,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00010830217011532534,0.0,0.0,0.0,-6.498130206905851e-05
1772173907.1710532,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,3.2307799331001536e-11,0.0,0.0,0.0,-1.0830236396212135e-05
1772173907.6074567,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.662419992492198e-05,0.0,0.0,0.0,-2.7974516724173256e-05
1772173908.0442448,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.2222188917241228e-05,0.0,0.0,0.0,-1.1995733342836936e-05
1772173908.4530919,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.848217975678223e-06,0.0,0.0,0.0,-5.931149677131057e-06
1772173908.8626082,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.2857452753368126e-05,0.0,0.0,0.0,-8.499293449588698e-06
1772173909.2716303,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.071045975501983e-06,0.0,0.0,0.0,-3.7141636655376056e-06
1772173909.68536,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00013136838178766608,0.0,0.0,0.0,-7.821392447504946e-05
1772173910.0956845,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.894235889950829e-05,0.0,0.0,0.0,-2.8713781738569925e-05
1772173910.5040798,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-5.295065754028246e-05,0.0,0.0,0.0,-2.7876158634218648e-05
1772173910.9142964,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.761075763661093e-05,0.0,0.0,0.0,-3.986152033599481e-05
1772173911.324878,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.297625052575911e-05,0.0,0.0,0.0,-2.2951575973964738e-05
1772173911.7333448,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.3010250011316637e-05,0.0,0.0,0.0,-1.8103775059365896e-05
1772173912.14819,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-7.081205279144558e-05,0.0,0.0,0.0,-4.0186206673735686e-05
1772173912.5606856,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.8944850210722616e-05,0.0,0.0,0.0,-1.4659145363433606e-05
1772173912.9730854,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.339223334482771e-05,0.0,0.0,0.0,-9.929825027968887e-06
1772173913.393522,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.6143314048557245e-05,0.0,0.0,0.0,-8.346765094651575e-06
1772173913.8073199,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.589566823105138e-05,0.0,0.0,0.0,-7.972598697276277e-06
1772173914.2204204,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003252150450971565,0.0,0.0,0.0,-0.00019671859388139902
1772173914.6373932,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.1780259755289413e-05,0.0,0.0,0.0,-4.55896603628893e-05
1772173915.0513546,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.4982921373559074e-06,0.0,0.0,0.0,-4.277001257942486e-06
1772173915.4737341,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.993186003582672e-06,0.0,0.0,0.0,-3.3457408158851943e-06
1772173915.8898795,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-8.856518657405836e-05,0.0,0.0,0.0,-5.363843054479328e-05
1772173916.2997382,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.1412762485957783e-10,0.0,0.0,0.0,-8.856647133980752e-06
1772173916.7113144,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,3.0085074341611447e-05,0.0,0.0,0.0,-1.8051023192204383e-05
