t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,motor_rpm_mean,motor_current_mean,encoder_pulse_rate_mean,reward
1772510682.5881772,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-7.688336683674157e-11,0.0,0.0,0.0,-4.613002010204494e-11
1772510682.9960525,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.909230554143944e-10,0.0,0.0,0.0,-1.2224216993231078e-10
1772510683.410718,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-5.983248058517941e-10,0.0,0.0,0.0,-3.7808718905251587e-10
1772510683.8208406,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-4.957230584140201e-10,0.0,0.0,0.0,-2.5812170395078744e-10
1772510684.2342072,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,8.512286611938842e-11,0.0,0.0,0.0,-1.0064602551303508e-10
1772510684.6592617,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.9711762516732455e-10,0.0,0.0,0.0,-1.6975828848845588e-10
1772510685.0747583,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.4829346246407497e-10,0.0,0.0,0.0,-1.2902914750236245e-10
1772510685.488764,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-4.1510238475706007e-10,0.0,0.0,0.0,-2.7389077710064353e-10
1772510685.9087737,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.2231043171155294e-06,0.0,0.0,0.0,-3.7339041005077933e-06
1772510686.3239257,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.1585593914278372e-06,0.0,0.0,0.0,-1.085734188282688e-06
1772510686.7340796,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.8114315444631034e-05,0.0,0.0,0.0,-1.6752733327635837e-05
1772510687.1438377,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.7523528946151853e-10,0.0,0.0,0.0,-2.8115966856367804e-06
1772510687.5551488,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.335734374345067e-09,0.0,0.0,0.0,-7.739170956608883e-10
