t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,motor_rpm_mean,motor_current_mean,encoder_pulse_rate_mean,reward
1772092328.3381956,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006784360359999983,0.0,0.0,0.0,-0.00040706162159999897
1772092328.790727,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006690795546805573,0.0,0.0,0.0,-0.00033547542547222273
1772092329.206434,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005947169912426959,0.0,0.0,0.0,-0.0003047947519651341
1772092329.6454356,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005481449680991386,0.0,0.0,0.0,-0.000278729686363925
1772092330.0617514,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003890811302989573,0.0,0.0,0.0,-0.00021044694892949676
1772092330.4885967,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00058611117987848,0.0,0.0,0.0,-0.0003127585948971923
1772092330.9153757,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006490882811570418,0.0,0.0,0.0,-0.0003308418507063771
1772092331.3355188,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007471202506367054,0.0,0.0,0.0,-0.00038336332226631905
1772092331.7508905,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007208928289916833,0.0,0.0,0.0,-0.00036306915666034387
1772092332.1637764,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006071934190041826,0.0,0.0,0.0,-0.00031496665050084136
1772092332.577608,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005941958300234042,0.0,0.0,0.0,-0.00029839767390977997
1772092332.9968069,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004667293627346896,0.0,0.0,0.0,-0.00024611132809621624
1772092333.4249651,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004059585676429369,0.0,0.0,0.0,-0.0002090563633306437
1772092333.838547,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004740590026470091,0.0,0.0,0.0,-0.00024383954482391177
1772092334.2649379,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005308235826069547,0.0,0.0,0.0,-0.0002710882492994719
1772092334.6770678,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006255520339148759,0.0,0.0,0.0,-0.0003222488620882301
1772092335.0947483,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006962592752452154,0.0,0.0,0.0,-0.0003552003617556416
1772092335.5288835,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006928879572924835,0.0,0.0,0.0,-0.00034678111044151493
1772092335.946657,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006915938876048191,0.0,0.0,0.0,-0.000345926350771176
1772092336.36465,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006700352270054492,0.0,0.0,0.0,-0.0003371734795626616
1772092336.7770636,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007057678002744626,0.0,0.0,0.0,-0.0003564571574641327
1772092337.2114162,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006579479171940128,0.0,0.0,0.0,-0.00033375594690505136
1772092337.6252515,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006065507688116317,0.0,0.0,0.0,-0.000308415099244054
1772092338.0530863,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00081905646229032,0.0,0.0,0.0,-0.00043077880049302884
1772092338.4877093,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007048067118164712,0.0,0.0,0.0,-0.0003638283309556205
1772092338.914462,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006267770414117348,0.0,0.0,0.0,-0.00032119148774634106
1772092339.3435216,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00043596805737863967,0.0,0.0,0.0,-0.00023706492709262936
1772092339.7607229,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005293744914340854,0.0,0.0,0.0,-0.0002740278891225872
1772092340.1946008,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00047408543460015557,0.0,0.0,0.0,-0.00024257162298347077
1772092340.6182482,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005257425310690398,0.0,0.0,0.0,-0.0002680369751814083
1772092341.040705,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006352813481014007,0.0,0.0,0.0,-0.00032859455575393645
1772092341.4685116,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006563233597143854,0.0,0.0,0.0,-0.0003302658810184912
1772092341.891223,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006798342786473887,0.0,0.0,0.0,-0.00034226823121699467
1772092342.3079991,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005090690469584497,0.0,0.0,0.0,-0.00027161104664811874
1772092342.72359,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004589050012881544,0.0,0.0,0.0,-0.00023446890521110672
1772092343.133176,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002800586234926278,0.0,0.0,0.0,-0.00015791394952586655
1772092343.5470958,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00023840462896219927,0.0,0.0,0.0,-0.00012336771393414248
1772092343.9749599,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002276482502023346,0.0,0.0,0.0,-0.00011489976297715377
1772092344.390638,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014404348479250836,0.0,0.0,0.0,-8.03822189372368e-05
1772092344.807928,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00039233255724807685,0.0,0.0,0.0,-0.00022099518586959528
1772092345.2229805,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005019564528778766,0.0,0.0,0.0,-0.00026194061600191826
1772092345.6372147,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006873204627144204,0.0,0.0,0.0,-0.0003621966323408646
1772092346.0640953,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006655348635401186,0.0,0.0,0.0,-0.00033494599168748946
1772092346.4967775,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005565862958155949,0.0,0.0,0.0,-0.0002891880046802498
1772092346.91467,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006009809255538398,0.0,0.0,0.0,-0.0003049299257507444
1772092347.330399,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005517627870162416,0.0,0.0,0.0,-0.00028080320736188064
1772092347.753495,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005667583511475016,0.0,0.0,0.0,-0.0002848787319868768
1772092348.1816804,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005948817725946798,0.0,0.0,0.0,-0.0003002532284420577
1772092348.5899425,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005561827341771113,0.0,0.0,0.0,-0.0002819612709303125
1772092349.0118,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006405675836489611,0.0,0.0,0.0,-0.0003287222767716655
1772092349.4233296,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005175524503270165,0.0,0.0,0.0,-0.0002710777384957027
1772092349.8547404,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005717778499858116,0.0,0.0,0.0,-0.00029131146495878533
1772092350.2702477,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005107368192640852,0.0,0.0,0.0,-0.00026147251270421524
1772092350.6952593,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005987323005190472,0.0,0.0,0.0,-0.0003081656983850198
1772092351.1306803,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007174809042781549,0.0,0.0,0.0,-0.0003706153125149882
1772092351.5576603,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000807043936893415,0.0,0.0,0.0,-0.00041247827170823347
1772092351.9777985,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008317764781905551,0.0,0.0,0.0,-0.00041836149322499157
1772092352.3947606,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006705933626382133,0.0,0.0,0.0,-0.00035141499287434083
1772092352.8163686,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005605950123590592,0.0,0.0,0.0,-0.000291297341207445
1772092353.230562,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00047131403366902587,0.0,0.0,0.0,-0.0002445851147035163
