t,segment,cmd_v,cmd_w,ekf_v,ekf_wz,ekf_yaw_u,wheel_v,wheel_wz,wheel_yaw_u,imu_wz,imu_yaw_u,err_yaw_ekf_imu,err_yaw_wheel_imu,err_wz_ekf_imu,err_wz_wheel_imu
2.492744,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604812,1.604812,1.604812,-0.001133,-0.001133
2.547915,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.604991,1.604991,1.604991,0.002358,0.002358
2.588629,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604907,1.604907,1.604907,-0.001133,-0.001133
2.638343,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604790,1.604790,1.604790,0.000613,0.000613
2.688489,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604876,1.604876,1.604876,-0.001133,-0.001133
2.740508,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604927,1.604927,1.604927,-0.001133,-0.001133
2.789429,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.604857,1.604857,1.604857,0.002358,0.002358
2.838446,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604803,1.604803,1.604803,0.000613,0.000613
2.890438,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604786,1.604786,1.604786,0.000613,0.000613
2.938881,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604851,1.604851,1.604851,-0.001133,-0.001133
2.990082,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.604934,1.604934,1.604934,0.002358,0.002358
3.039242,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604987,1.604987,1.604987,-0.001133,-0.001133
3.088453,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604989,1.604989,1.604989,0.000613,0.000613
3.138415,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605076,1.605076,1.605076,-0.001133,-0.001133
3.188309,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605018,1.605018,1.605018,0.000613,0.000613
3.239553,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605015,1.605015,1.605015,-0.001133,-0.001133
3.288241,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.605002,1.605002,1.605002,0.002358,0.002358
3.338667,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605046,1.605046,1.605046,-0.001133,-0.001133
3.391663,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605057,1.605057,1.605057,-0.001133,-0.001133
3.439192,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604965,1.604965,1.604965,0.000613,0.000613
3.488184,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604906,1.604906,1.604906,-0.001133,-0.001133
3.538376,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.604901,1.604901,1.604901,0.002358,0.002358
3.588292,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604897,1.604897,1.604897,-0.001133,-0.001133
3.638232,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604888,1.604888,1.604888,0.000613,0.000613
3.689070,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604767,1.604767,1.604767,0.000613,0.000613
3.738216,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.604838,1.604838,1.604838,0.002358,0.002358
3.788239,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604829,1.604829,1.604829,0.000613,0.000613
3.838214,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004103,-1.604878,1.604878,1.604878,0.004103,0.004103
3.888226,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604895,1.604895,1.604895,0.000613,0.000613
3.938323,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604916,1.604916,1.604916,0.000613,0.000613
3.988932,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.604901,1.604901,1.604901,0.002358,0.002358
4.038257,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604843,1.604843,1.604843,-0.001133,-0.001133
4.088412,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005849,-1.605017,1.605017,1.605017,0.005849,0.005849
4.138362,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604976,1.604976,1.604976,-0.001133,-0.001133
4.188270,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004103,-1.604974,1.604974,1.604974,0.004103,0.004103
4.238208,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.604964,1.604964,1.604964,0.000613,0.000613
4.294373,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604984,1.604984,1.604984,-0.001133,-0.001133
4.341795,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.604983,1.604983,1.604983,-0.001133,-0.001133
4.388305,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605057,1.605057,1.605057,-0.001133,-0.001133
4.438247,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605037,1.605037,1.605037,-0.001133,-0.001133
4.488225,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605086,1.605086,1.605086,-0.001133,-0.001133
4.538256,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605215,1.605215,1.605215,0.000613,0.000613
4.588221,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605204,1.605204,1.605204,-0.001133,-0.001133
4.638816,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605288,1.605288,1.605288,0.000613,0.000613
4.688251,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002878,-1.605331,1.605331,1.605331,-0.002878,-0.002878
4.740368,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004103,-1.605388,1.605388,1.605388,0.004103,0.004103
4.788340,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002878,-1.605403,1.605403,1.605403,-0.002878,-0.002878
4.838327,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605364,1.605364,1.605364,-0.001133,-0.001133
4.888697,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605366,1.605366,1.605366,0.000613,0.000613
4.958495,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004103,-1.605329,1.605329,1.605329,0.004103,0.004103
4.988310,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605427,1.605427,1.605427,0.000613,0.000613
5.038400,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002878,-1.605422,1.605422,1.605422,-0.002878,-0.002878
5.089237,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605550,1.605550,1.605550,0.000613,0.000613
5.140685,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.605612,1.605612,1.605612,0.002358,0.002358
5.188439,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605678,1.605678,1.605678,-0.001133,-0.001133
5.238554,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605695,1.605695,1.605695,-0.001133,-0.001133
5.288846,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002358,-1.605710,1.605710,1.605710,0.002358,0.002358
5.338407,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605728,1.605728,1.605728,0.000613,0.000613
5.388145,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605671,1.605671,1.605671,0.000613,0.000613
5.439960,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605667,1.605667,1.605667,0.000613,0.000613
5.488205,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605623,1.605623,1.605623,-0.001133,-0.001133
5.538457,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004103,-1.605717,1.605717,1.605717,0.004103,0.004103
5.590477,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000613,-1.605823,1.605823,1.605823,0.000613,0.000613
5.638674,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001133,-1.605850,1.605850,1.605850,-0.001133,-0.001133
