t,segment,v,w,motor_id,rpm,current,pulse_count,dpps,cpr_est
1772005599.2017527,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2018082,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2018363,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2026594,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2026846,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2026987,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2034042,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2034261,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.20344,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2041085,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2041304,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2041442,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2048628,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2048838,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2048972,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2055883,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2056098,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2056236,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2062874,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2063081,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2063353,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2069898,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2070105,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2070234,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2076716,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2076921,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2077048,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.208349,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2083697,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2083824,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2090635,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.209083,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.2090964,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.209783,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2098036,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.209816,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.21043,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.210449,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005599.210474,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2193766,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.2194269,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.2194424,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.239925,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.2399726,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.2399917,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.259529,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.2595766,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.2595966,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.279305,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.279348,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.2793674,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.2992904,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.2993333,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.2993548,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.3192916,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.3193297,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.319351,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.3397768,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.339823,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.3398468,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.3592892,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.3593297,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.3593519,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.37922,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.3792577,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.3792794,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.399124,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.3991609,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.3991826,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.4191883,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.4192266,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.4192483,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.4391553,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.4391916,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.4392247,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.4592183,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.4592605,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.4592822,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.4797983,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.4798446,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.4798684,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.4997416,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.4997845,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.4998078,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.5196514,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.5196939,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.519718,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.539653,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.5396945,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.5397186,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.559448,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.5594904,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.5595164,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.5794032,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.5794454,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.5794697,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.5993989,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.5994418,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.5994654,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.6196487,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.6196918,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.619715,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.6392074,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.6392446,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.6392658,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.6591737,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.6592088,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.6592295,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.6797159,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.679758,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.679795,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.6995757,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.6996183,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.699641,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.7189593,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.718997,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.7190187,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.7392719,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.7393148,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.7393382,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.7591283,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.7591708,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.7591949,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.7789834,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.7790222,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005599.779044,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005599.7989922,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005599.799031,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
