t,segment,window_sec,rpm_avg_10s,cur_avg_10s,dpps_avg_10s,cpr_avg_10s,rpm_avg_all,cur_avg_all,dpps_avg_all,cpr_avg_all,n_all,duration_sec,data_ok
1772005600.1595755,stop,10.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,61,0.957033354999794,0
1772005601.1791635,stop,10.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,112,1.9764042859999336,0
1772005602.199102,stop,10.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,163,2.9960083379999105,0
1772005603.2191005,stop,10.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,214,4.015478270999893,0
1772005604.2384112,stop,10.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,265,5.034876838999935,0
1772005605.2579815,stop,10.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,316,6.05422263499986,0
1772005606.2774057,straight,10.0,182.30864197530866,-4.880246921821875,7055.781351084803,1765.454523651941,182.30864197530866,-4.880246921821875,7055.781351084803,1765.454523651941,27,0.519606524999972,0
1772005606.2779937,stop,10.0,0.08531746031746032,0.0,2.551730033290355,1150.0587917480716,0.08531746031746032,0.0,2.551730033290355,1150.0587917480716,336,6.453837614999884,0
1772005606.2781022,other,10.0,43.333333333333336,-0.7166666686534882,1381.421133683083,969.1290880170598,43.333333333333336,-0.7166666686534882,1381.421133683083,969.1290880170598,4,0.060041469999987385,0
1772005607.296715,straight,10.0,258.11538461538464,-5.43162393162393,15854.13702969896,2543.6652462227203,258.11538461538464,-5.43162393162393,15854.13702969896,2543.6652462227203,78,1.538986874000102,0
1772005607.2972338,stop,10.0,0.08531746031746032,0.0,2.551730033290355,1150.0587917480716,0.08531746031746032,0.0,2.551730033290355,1150.0587917480716,336,6.453837614999884,0
1772005607.2973754,other,10.0,43.333333333333336,-0.7166666686534882,1381.421133683083,969.1290880170598,43.333333333333336,-0.7166666686534882,1381.421133683083,969.1290880170598,4,0.060041469999987385,0
1772005608.3166406,straight,10.0,296.31007751937994,-5.320413461335249,20897.175559487132,2865.184992354255,296.31007751937994,-5.320413461335249,20897.175559487132,2865.184992354255,129,2.558418836000101,0
1772005608.3171513,stop,10.0,0.08531746031746032,0.0,2.551730033290355,1150.0587917480716,0.08531746031746032,0.0,2.551730033290355,1150.0587917480716,336,6.453837614999884,0
1772005608.317255,other,10.0,43.333333333333336,-0.7166666686534882,1381.421133683083,969.1290880170598,43.333333333333336,-0.7166666686534882,1381.421133683083,969.1290880170598,4,0.060041469999987385,0
1772005609.336778,straight,10.0,310.48747591522186,-5.070712912519082,18532.28889160407,2556.70116658723,310.48747591522186,-5.070712912519082,18532.28889160407,2556.70116658723,173,3.5783097470000484,0
